system:index,NDVI_count,NDVI_mean,.geo
LT05_033036_20040105,3563,0.1314550442806964,"{""type"":""Polygon"",""coordinates"":[[[-106.73600000000002,34.34899886595148],[-106.73904438460072,34.34864067341479],[-106.7418463632511,34.347594616690984],[-106.7441828482858,34.345943985440734],[-106.74586784376066,34.34382020089068],[-106.74676725438584,34.34139234503289],[-106.74680955002844,34.338853692728264],[-106.74599143985661,34.336406321558286],[-106.74437811060328,34.334245026185755],[-106.74209801737555,34.3325418177211],[-106.7393326479988,34.331432240375854],[-106.736302078963,34.331004591871036],[-106.73324747197131,34.33129290262245],[-106.73041189979965,34.332274230164835],[-106.72802102076693,34.333870483166876],[-106.72626513293858,34.33595463053313],[-106.72528403136914,34.338360803520075],[-106.72515587219408,34.340897489718486],[-106.72589093254645,34.34336277152211],[-106.72743076888706,34.34556039794901],[-106.72965284811151,34.34731541075736],[-106.73238028935633,34.34848807960288],[-106.73539594475571,34.34898503435253],[-106.73600000000002,34.34899886595148]]]}"
LT05_033036_20040121,3563,0.13097215405239834,"{""type"":""Polygon"",""coordinates"":[[[-106.73600000000002,34.34899886595148],[-106.73904438460072,34.34864067341479],[-106.7418463632511,34.347594616690984],[-106.7441828482858,34.345943985440734],[-106.74586784376066,34.34382020089068],[-106.74676725438584,34.34139234503289],[-106.74680955002844,34.338853692728264],[-106.74599143985661,34.336406321558286],[-106.74437811060328,34.334245026185755],[-106.74209801737555,34.3325418177211],[-106.7393326479988,34.331432240375854],[-106.736302078963,34.331004591871036],[-106.73324747197131,34.33129290262245],[-106.73041189979965,34.332274230164835],[-106.72802102076693,34.333870483166876],[-106.72626513293858,34.33595463053313],[-106.72528403136914,34.338360803520075],[-106.72515587219408,34.340897489718486],[-106.72589093254645,34.34336277152211],[-106.72743076888706,34.34556039794901],[-106.72965284811151,34.34731541075736],[-106.73238028935633,34.34848807960288],[-106.73539594475571,34.34898503435253],[-106.73600000000002,34.34899886595148]]]}"
LT05_033036_20040206,3563,0.10965333565899585,"{""type"":""Polygon"",""coordinates"":[[[-106.73600000000002,34.34899886595148],[-106.73904438460072,34.34864067341479],[-106.7418463632511,34.347594616690984],[-106.7441828482858,34.345943985440734],[-106.74586784376066,34.34382020089068],[-106.74676725438584,34.34139234503289],[-106.74680955002844,34.338853692728264],[-106.74599143985661,34.336406321558286],[-106.74437811060328,34.334245026185755],[-106.74209801737555,34.3325418177211],[-106.7393326479988,34.331432240375854],[-106.736302078963,34.331004591871036],[-106.73324747197131,34.33129290262245],[-106.73041189979965,34.332274230164835],[-106.72802102076693,34.333870483166876],[-106.72626513293858,34.33595463053313],[-106.72528403136914,34.338360803520075],[-106.72515587219408,34.340897489718486],[-106.72589093254645,34.34336277152211],[-106.72743076888706,34.34556039794901],[-106.72965284811151,34.34731541075736],[-106.73238028935633,34.34848807960288],[-106.73539594475571,34.34898503435253],[-106.73600000000002,34.34899886595148]]]}"
LT05_033036_20040222,2021,0.09262645830057231,"{""type"":""Polygon"",""coordinates"":[[[-106.73600000000002,34.34899886595148],[-106.73904438460072,34.34864067341479],[-106.7418463632511,34.347594616690984],[-106.7441828482858,34.345943985440734],[-106.74586784376066,34.34382020089068],[-106.74676725438584,34.34139234503289],[-106.74680955002844,34.338853692728264],[-106.74599143985661,34.336406321558286],[-106.74437811060328,34.334245026185755],[-106.74209801737555,34.3325418177211],[-106.7393326479988,34.331432240375854],[-106.736302078963,34.331004591871036],[-106.73324747197131,34.33129290262245],[-106.73041189979965,34.332274230164835],[-106.72802102076693,34.333870483166876],[-106.72626513293858,34.33595463053313],[-106.72528403136914,34.338360803520075],[-106.72515587219408,34.340897489718486],[-106.72589093254645,34.34336277152211],[-106.72743076888706,34.34556039794901],[-106.72965284811151,34.34731541075736],[-106.73238028935633,34.34848807960288],[-106.73539594475571,34.34898503435253],[-106.73600000000002,34.34899886595148]]]}"
LT05_033036_20040309,3563,0.1010357368397302,"{""type"":""Polygon"",""coordinates"":[[[-106.73600000000002,34.34899886595148],[-106.73904438460072,34.34864067341479],[-106.7418463632511,34.347594616690984],[-106.7441828482858,34.345943985440734],[-106.74586784376066,34.34382020089068],[-106.74676725438584,34.34139234503289],[-106.74680955002844,34.338853692728264],[-106.74599143985661,34.336406321558286],[-106.74437811060328,34.334245026185755],[-106.74209801737555,34.3325418177211],[-106.7393326479988,34.331432240375854],[-106.736302078963,34.331004591871036],[-106.73324747197131,34.33129290262245],[-106.73041189979965,34.332274230164835],[-106.72802102076693,34.333870483166876],[-106.72626513293858,34.33595463053313],[-106.72528403136914,34.338360803520075],[-106.72515587219408,34.340897489718486],[-106.72589093254645,34.34336277152211],[-106.72743076888706,34.34556039794901],[-106.72965284811151,34.34731541075736],[-106.73238028935633,34.34848807960288],[-106.73539594475571,34.34898503435253],[-106.73600000000002,34.34899886595148]]]}"
LT05_033036_20040325,3563,0.10504090997687811,"{""type"":""Polygon"",""coordinates"":[[[-106.73600000000002,34.34899886595148],[-106.73904438460072,34.34864067341479],[-106.7418463632511,34.347594616690984],[-106.7441828482858,34.345943985440734],[-106.74586784376066,34.34382020089068],[-106.74676725438584,34.34139234503289],[-106.74680955002844,34.338853692728264],[-106.74599143985661,34.336406321558286],[-106.74437811060328,34.334245026185755],[-106.74209801737555,34.3325418177211],[-106.7393326479988,34.331432240375854],[-106.736302078963,34.331004591871036],[-106.73324747197131,34.33129290262245],[-106.73041189979965,34.332274230164835],[-106.72802102076693,34.333870483166876],[-106.72626513293858,34.33595463053313],[-106.72528403136914,34.338360803520075],[-106.72515587219408,34.340897489718486],[-106.72589093254645,34.34336277152211],[-106.72743076888706,34.34556039794901],[-106.72965284811151,34.34731541075736],[-106.73238028935633,34.34848807960288],[-106.73539594475571,34.34898503435253],[-106.73600000000002,34.34899886595148]]]}"
LT05_033036_20040410,3563,0.12016352419517665,"{""type"":""Polygon"",""coordinates"":[[[-106.73600000000002,34.34899886595148],[-106.73904438460072,34.34864067341479],[-106.7418463632511,34.347594616690984],[-106.7441828482858,34.345943985440734],[-106.74586784376066,34.34382020089068],[-106.74676725438584,34.34139234503289],[-106.74680955002844,34.338853692728264],[-106.74599143985661,34.336406321558286],[-106.74437811060328,34.334245026185755],[-106.74209801737555,34.3325418177211],[-106.7393326479988,34.331432240375854],[-106.736302078963,34.331004591871036],[-106.73324747197131,34.33129290262245],[-106.73041189979965,34.332274230164835],[-106.72802102076693,34.333870483166876],[-106.72626513293858,34.33595463053313],[-106.72528403136914,34.338360803520075],[-106.72515587219408,34.340897489718486],[-106.72589093254645,34.34336277152211],[-106.72743076888706,34.34556039794901],[-106.72965284811151,34.34731541075736],[-106.73238028935633,34.34848807960288],[-106.73539594475571,34.34898503435253],[-106.73600000000002,34.34899886595148]]]}"
LT05_033036_20040426,3563,0.13808604680721945,"{""type"":""Polygon"",""coordinates"":[[[-106.73600000000002,34.34899886595148],[-106.73904438460072,34.34864067341479],[-106.7418463632511,34.347594616690984],[-106.7441828482858,34.345943985440734],[-106.74586784376066,34.34382020089068],[-106.74676725438584,34.34139234503289],[-106.74680955002844,34.338853692728264],[-106.74599143985661,34.336406321558286],[-106.74437811060328,34.334245026185755],[-106.74209801737555,34.3325418177211],[-106.7393326479988,34.331432240375854],[-106.736302078963,34.331004591871036],[-106.73324747197131,34.33129290262245],[-106.73041189979965,34.332274230164835],[-106.72802102076693,34.333870483166876],[-106.72626513293858,34.33595463053313],[-106.72528403136914,34.338360803520075],[-106.72515587219408,34.340897489718486],[-106.72589093254645,34.34336277152211],[-106.72743076888706,34.34556039794901],[-106.72965284811151,34.34731541075736],[-106.73238028935633,34.34848807960288],[-106.73539594475571,34.34898503435253],[-106.73600000000002,34.34899886595148]]]}"
LT05_033036_20040512,3563,0.14903280184563733,"{""type"":""Polygon"",""coordinates"":[[[-106.73600000000002,34.34899886595148],[-106.73904438460072,34.34864067341479],[-106.7418463632511,34.347594616690984],[-106.7441828482858,34.345943985440734],[-106.74586784376066,34.34382020089068],[-106.74676725438584,34.34139234503289],[-106.74680955002844,34.338853692728264],[-106.74599143985661,34.336406321558286],[-106.74437811060328,34.334245026185755],[-106.74209801737555,34.3325418177211],[-106.7393326479988,34.331432240375854],[-106.736302078963,34.331004591871036],[-106.73324747197131,34.33129290262245],[-106.73041189979965,34.332274230164835],[-106.72802102076693,34.333870483166876],[-106.72626513293858,34.33595463053313],[-106.72528403136914,34.338360803520075],[-106.72515587219408,34.340897489718486],[-106.72589093254645,34.34336277152211],[-106.72743076888706,34.34556039794901],[-106.72965284811151,34.34731541075736],[-106.73238028935633,34.34848807960288],[-106.73539594475571,34.34898503435253],[-106.73600000000002,34.34899886595148]]]}"
LT05_033036_20040528,3563,0.1491528544257964,"{""type"":""Polygon"",""coordinates"":[[[-106.73600000000002,34.34899886595148],[-106.73904438460072,34.34864067341479],[-106.7418463632511,34.347594616690984],[-106.7441828482858,34.345943985440734],[-106.74586784376066,34.34382020089068],[-106.74676725438584,34.34139234503289],[-106.74680955002844,34.338853692728264],[-106.74599143985661,34.336406321558286],[-106.74437811060328,34.334245026185755],[-106.74209801737555,34.3325418177211],[-106.7393326479988,34.331432240375854],[-106.736302078963,34.331004591871036],[-106.73324747197131,34.33129290262245],[-106.73041189979965,34.332274230164835],[-106.72802102076693,34.333870483166876],[-106.72626513293858,34.33595463053313],[-106.72528403136914,34.338360803520075],[-106.72515587219408,34.340897489718486],[-106.72589093254645,34.34336277152211],[-106.72743076888706,34.34556039794901],[-106.72965284811151,34.34731541075736],[-106.73238028935633,34.34848807960288],[-106.73539594475571,34.34898503435253],[-106.73600000000002,34.34899886595148]]]}"
